application_end_date;campus;chat_id;program;level;partner;price;plan_state;plan_rus;plan_foreign;format
08.Aug;Москва;-4147228289,00;Аналитика больших данных;master;carpov_courses;490;0;200;5;online
08.Aug;Москва;-1002099686965,00;Аналитика больших данных (чат с Карпов Курсы);master;carpov_courses;490;0;200;5;online
15.Sep;Москва;-972833656,00;Аналитика данных и прикладная статистика;master;no;440;0;110;3;online
08.Aug;Москва;-4749312259,00;Биоинформатика в агробиотехнологиях;master;no;490;15;15;0;online_part
08.Aug;Москва;-4046984274,00;Глобальные цифровые коммуникации;bachelor;no;500;0;155;6;online
08.Aug;Пермь;-4139485502,00;Дизайн;bachelor;no;420;0;400;7;online
15.Sep;Москва;-1002100789923,00;Инвестиции на финансовых рынках;master;no;440;0;120;1;online
15.Sep;Москва;-1001998842044,00;Инженерия данных;master;netology;470;0;150;5;online
15.Sep;Москва;-4171683633,00;Интерактивный дизайн;master;no;430;0;100;1;online
08.Aug;Москва;-613642779,00;Искусственный интеллект;master;no;520;0;350;5;online
08.Aug;Москва;-4198260355,00;Искусственный интеллект в маркетинге и управлении продуктом;master;no;490;0;160;5;online
15.Sep;Нижний Новгород;-688995997,00;Искусственный интеллект и компьютерное зрение;master;no;430;0;60;10;online
15.Sep;Пермь;-1002192951552,00;ИТ – юрист;master;no;380;0;70;2;online
15.Sep;Москва;-1001707182564,00;Кибербезопасность;master;netology;490;0;150;10;online
15.Sep;Москва;-1002670463110,00;Китайский язык в межкультурной бизнес-коммуникации;master;no;490;0;50;5;online
08.Aug;Москва;-772593583,00;Компьютерные науки и анализ данных;bachelor;no;550;0;150;10;online
15.Sep;Москва;-750161119,00;ЛигалТех;master;netology;440;0;60;1;online
15.Sep;Москва;WhatsApp;Магистр аналитики бизнеса;master;no;440;0;145;3;online
15.Sep;Москва;-1002216681454,00;Магистр по наукам о данных;master;no;490;0;200;20;online
15.Sep;Москва;-4186647978,00;Маркетинг - менеджмент;master;no;500;0;200;2;online
15.Sep;Москва;-1002500028103,00;Международный бизнес;master;no;510;0;60;10;online_part
15.Sep;Москва;-1002508354725,00;Педагогический дизайн: теория и практика обучения;master;no;390;0;55;3;online
08.Aug;Cанкт-Петербург;-1002562197059,00;Прикладная лингвистика: обучение иностранному языку и перевод в цифровой среде;master;no;330;0;50;1;online
08.Aug;Москва;-878424227,00;Прикладная социальная психология;master;no;440;20;5;2;online
08.Aug;Пермь;;Программные системы и автоматизация процессов разработки;bachelor;netology;350;0;100;3;online
08.Aug;Cанкт-Петербург;-942218135,00;Проектирование и разработка высоконагруженных информационных систем;master;no;500;0;20;0;online
08.Aug;Москва;-4073830216,00;Психоанализ и психоаналитическая психотерапия;master;no;700;0;130;10;online_part
08.Aug;Москва;-1002573664656,00;Психоанализ и психоаналитическое бизнес-консультирование;master;no;800;0;165;10;online_part
08.Aug;Пермь;-4542263709,00;Управление бизнесом;bachelor;no;350;0;100;5;online
15.Sep;Москва;-4102964588,00;Управление в креативных индустриях;master;no;430;0;100;1;online
15.Sep;Москва;-4092316930,00;Управление инновационным бизнесом;master;no;410;0;160;10;online
15.Sep;Нижний Новгород;-892164059,00;Управление организациями и проектами;master;no;400;0;250;3;online
15.Sep;Москва;-1002035879507,00;Управление стратегическими коммуникациями;master;no;390;0;250;2;online
15.Sep;Москва;-1002070587931,00;Управление цифровым продуктом;master;no;500;0;200;5;online
15.Sep;Москва;-889355707,00;Финансы;master;no;440;0;150;3;online
15.Sep;Москва;-4602706028,00;Цифровая инженерия для компьютерных игр;master;no;400;0;55;1;online
15.Sep;Москва;-824212567,00;Цифровая урбанистика и аналитика города;master;no;440;0;55;5;online
15.Sep;Нижний Новгород;-4595042190,00;Цифровой маркетинг;master;no;370;0;150;0;online
08.Aug;Москва;-1002012887954,00;Экономический анализ (маг.);master;no;390;0;165;10;online
08.Aug;Москва;WhatsApp;Экономический анализ (бак.);bachelor;no;510;0;70;3;online